null|Govt Senior Secondary School|Ranga Chang Bimliton P.O Via Junglighat South Andaman A & N Islands|N/A|AN|744103|null|Dr R P Pandey|03192 81002|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Senior Secondary School|Hut_Bay P.O Little Andaman A & N Islands|N/A|AN|744207|null|M P Singh|03192 84351|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Senior Secondary School|Malacca Car-Nicobar A & N Islands|N/A|AN|744301|null|Mrs Christine Samuel Rufus|03193 5275|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Senior Secondary School|Laxmanpur Neil Kendra P.O. Neil Island South Andaman A & N Islands|N/A|AN|744104|null|Mr. D. Subbu Lakshmi|03192 282618|Principal|gsss_neil@yahoo.co.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Kalighat P.O North Andaman A & N Islands|N/A|AN|744204|null|R S Misra|03192 282618|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Mayabunder North Andaman A & N Islands|N/A|AN|744204|null|Sh N C Chourasia|03192 73216|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Rangat Middle Andaman Middle Andaman|N/A|AN|744205|null|Mr K P Rai|03192 74242|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Kadamtala Village & P O Middle Andaman A & N Islands|N/A|AN|744209|null|M K Krishnamoorthy|03192 77064|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Bakultala P O Bakultala Middle Andaman A & N Islands|N/A|AN|744208|null|Santhosh Sharma|03192 77615|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Havelock P O Havelock-3 South Andaman A & N Islands|N/A|AN|744211|null|M L Datta|03192 82380|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Long Island Post Middle Andaman A & N Islands|N/A|AN|744203|null|T N Singh|03192 78516|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Port Mout P.O Chouldari South Andaman A & N Islands|N/A|AN|744103|null|Mary Francisca Ekka|03192 89026|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Sawai Car-Nicobar A & N Islands|N/A|AN|744301|null|S R Singh|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Ramkrishnapur Post Via Hutbay Little Andaman A & N Islands|N/A|AN|744207|null|G C Chakraborty|03192 88039|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Lapathy Car-Nicobar A & N Islands|N/A|AN|744301|null|Sh H Nathaniel|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Campbell Bay Great Nicobar A & N Islands|N/A|AN|744302|null|S Ravindren|03192 64240|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|School Line Junglighat P.O Port Blair South Andaman A & N Islands|N/A|AN|744103|null|Jagadish Prasad Upadhay|03192 32836|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Vijay Nagar Campbell Bay Great Nicobar A & N Islands|N/A|AN|744302|null|Chhote Lal|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Mohanpura Port Blair A & N Islands|N/A|AN|744101|null|C Nachiappan|03192 33847|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Kapanga Katchal Islands Nicobar District A & N Islands|N/A|AN|744304|null|Mr M P Singh|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Champin Nancowrie P.O. A & N Islands|N/A|AN|744303|null|Sh Nathaniel|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School|Garacharama South Andaman A & N Islands|N/A|AN|744101|null|Brahmeshwar Choudhary|03192 50337|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School (Hindi Medium)|Haddo Post Port Blair A & N Islands|N/A|AN|744102|null|Mr S R Singh|03192 34838|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Sec School (Telugu Medium)|Haddo Post Port Blair A & N Islands|N/A|AN|744102|null|Mr. Manoranjan Ghosh|03192 232671|Principal|bujji_hado@yahoo.co.in|Asia/Kolkata|IN
null|Govt Sr Secondary School|Swadesh Nagar P.O. Middle Andaman A & N Islands|N/A|AN|744201|null|D P Gupta|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Secondary School|Diglipur North Andaman A & N Islands|N/A|AN|744202|null|Sh Upendra Jha|03192 72224|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Secondary School|Pahalgaon P O Togapur Via Mayabunder Middle Andaman A & N Islands|N/A|AN|744204|null|Mr. Sushen Mallick|03192 276671|Principal|gsss_pahalgaon@yahoo.co.in|Asia/Kolkata|IN
null|Govt Sr Secondary School|Tusnabad Port Blair South Andaman A & N Islands|N/A|AN|744103|null|Smti Veena Parekh|03192 73216|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr Secondary School|Sabri Jn. Middle Middle Andaman|N/A|AN|744205|null|V N P Shahi|03192 74205|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr. Sec School|Wimberlygunj P.O South Andaman A & N Islands|N/A|AN|744206|null|Suman Devi|03192 55254|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr. Secondary School|Bambooflat P.O South Andaman A & N Islands|N/A|AN|744107|null|R Dev Das|03192 55752|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sr.Secondary School|Bathubasti Post Garacharama Post Via Port Blair South Andaman A & N Islands|N/A|AN|744101|null|Leela Hanif|03192 50308|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt. Demonstration Multi Purpose|School Middle Point Port Blair A & N Islands|N/A|AN|744101|null|N R Khan|03192 34730|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt. Model Sr. Sec. School|Sita Nagar, Diglipur, North & Middle Andaman|N/A|AN|744202|null|Mammen Thomas|03192 272224|Principal|gsssubashgram2@yahoo.co.in|Asia/Kolkata|IN
null|Govt. Secondary School|Paschim Sagar Diglipur North Andaman A & N Islands|N/A|AN|744202|null|Mr. Deepak Kumar Paul|03192 272148|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt. Secondary School|Keralapuram Diglipur Aerial Bay Po North Andaman A & N Islands|N/A|AN|744202|null|E T Mariamma|03192 73216|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt. Secondary School|P.O. Calicut Port Blair South Andamans|N/A|AN|744103|null|Jag Jeevan Lall|03192 50041|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt. Secondary School|Pilpillow Nancowrie A & N Islands|N/A|AN|744303|null|Amjad Hussain|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt. Secondary School|Laxmipur North Andaman A & N Islands|N/A|AN|744202|null|Mr. Akhil Biswas|03192 271390|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt. Secondary School|South Point Shadipur Post Portblair A & N Islands|N/A|AN|744106|null|Keshav Prasad|03192 31714|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Arong Car Nicobar Po Nicobar Distt A & N Islands 744301 A & N Islands|N/A|AN|744301|null|S Bangarusamy|03193 67033|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Jawahar Navodaya Vidyalaya|Panchvatti Navodaya Nagar Rangat P.O Middle Andaman A & N Islands|N/A|AN|744205|null|Mr. P. Ramachandran|03192 279092|Principal|jnvpanchawati@gmail.com|Asia/Kolkata|IN
null|Kamaraj Eng Med School|Aberdeen Bazar P B No 157 Port Blair A & N Islands |N/A|AN|N/A|null|Mrs.V.S.Beena|03192 261536|Principal|kamarajenglishmediumschool@yahoo.co|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.2|Raksha Vihar Minnie Bay Port Blair A & N Islands|N/A|AN|744103|null|P U Chackappan|03192 33669|Principal|kvislands@yahoo.com|Asia/Kolkata|IN
null|Kendriya Vidyalaya No.I|Near Aberdeen Bazar Port Blair A & N Islands|N/A|AN|744101|null|Mr. D.R. Meena|03192 232411|Principal|prkv1portblair@yahoo.co.in|Asia/Kolkata|IN
null|Khalsa Public School|Gurudwara Dr.Diwan Singh Complex|N/A|AN|744101|null|Mrs.Veena Parekh|03192-242839|Principal|khalsapublic@gmail.com|Asia/Kolkata|IN
null|M E S School|Azad Nagar Stewart Gunj Bambooflat South Andaman|N/A|AN|744107|null|Mr. Sh T Hamza|03192 55336|Principal|mes_sg@yahoo.com|Asia/Kolkata|IN
null|Navy Public School|Minnie Bay Port Blair Po Junglighat Andaman & Nicobar Islands|N/A|AN|744103|null|Mrs. Anita Devi|03192 200827|Principal|npspb@yahoo.co.in|Asia/Kolkata|IN
null|Nirmala Sr Sec School|Haddo Post Port Blair A & N Islands|N/A|AN|744102|null|Sr. I Schooner|03192 32915|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Saraswati Shishu Mandir|Pather Gudda Garacharma Port Blair Andaman Nicobar Island|N/A|AN|110085|null|Suraj Prakash|03192 250331|Principal|crpfps@del2.vsnl.net.in|Asia/Kolkata|IN
null|Ummat Public School|Mohatma Gandhi Road Middle Point Aberdeen Bazar Port Blair (A&N Island)|N/A|AN|744101|null|Mr. K Kamraj|03192 231130|Principal|ummat_and@rediffmail.com|Asia/Kolkata|IN
null|Vivekananda Kendra Vidyalaya|Vivekananda Kendra Vidyalaya|N/A|AN|744205|null|Shubhrawati Sharma|0562 03192274116|Principal|vk_vidya@dataone.in|Asia/Kolkata|IN
null|Vivekananda Kendra Vidyalaya|Lamba Line Post Box No.501 Junglighat P.O Port Blair A & N Islands|N/A|AN|744103|null|Mr. Sh S Vijayakumar|03192 233426|Principal|principal_vkv@rediffmail.com|Asia/Kolkata|IN
null|Vivekananda Kendra Zilla Parishad Vidyalaya, Diglipur|R.K. Gram|N/A|AN|744202|null|Manimohan Hira|03192272505|Principal|portblair@vkendra.org|Asia/Kolkata|IN
null|Vivekananda Kendra Zilla Parishad Vidyalaya, Port Mout|P.O. Chouldari, Port Mout, Near G S School, Dist. South Andaman Pin 744103|N/A|AN|744103|null|Sita Das|03192220215|Principal|portblair@vkendra.org|Asia/Kolkata|IN
null|Crescent Public School|Wimberly Gunj Po|N/A|AN|744206|null|E Saira Banu|03192-256129|Principal|cps.andaman@gmail.com|Asia/Kolkata|IN
null|Abhaya School|Sy. No. 402,405&406|N/A|AP|500014|null|L.Shailaja|08008222356|Principal|abhaya_school@yahoo.co.in|Asia/Kolkata|IN
null|Abhyas The Global School|4-155,Jp Road|N/A|AP|534204|null|Mr.Avv Satyanarayana|08816223445|Principal|abhyastheschool@gmail.com|Asia/Kolkata|IN
null|Adarsh Public School|Vinayak Nagar Pedagantyuda Andhra Pradesh|N/A|AP|530044|null|Mrs. K S S Ch V Maha Lakshmi|0891 2511251|Principal|adarshedu@bsnl.in|Asia/Kolkata|IN
null|Akshara School|N F C L Township Kakinada Andhra Pradesh|N/A|AP|533003|null|Dr J D Johnson|0884 365053|Principal|sundarv@nagarjunagroup.com|Asia/Kolkata|IN
null|Akshara Vidyalaya|Saraswathi Nagar, Yerra Gunta, Nh - 05|N/A|AP|524320|null|Mr.Rakesh Singh Tomar|08612163785|Principal|rakeshkanpur@gmail.com|Asia/Kolkata|IN
null|Ameya World School|Sangivalasa|N/A|AP|531162|null|Pampa Chaudhuri|08933-228212|Principal|office@ameyaworldschool.in|Asia/Kolkata|IN
null|Army School.|Ramakrishnapuram Secunderabad Andhra Pradesh|N/A|AP|500056|null|K A Rao|040 7794729|Principal|armysch@rediffmail.com|Asia/Kolkata|IN
null|Ashram Public School|Pithapuram Road Opp. Boat Club Kakinada Andhra Pradesh|N/A|AP|533003|null|Smt. Y Jyothi|0884 378798|Principal|spice@md3.vsnl.net.in|Asia/Kolkata|IN
null|Atkinson High School|Convent Street, Vijayawada- 520001|N/A|AP|520001|null|Sr. Stella|08662565790|Principal|atkinsonvjy@gmail.com|Asia/Kolkata|IN
null|Atomic Energy Central School|E C I L Campus Near Tifr E.C.I.L. Post Hyderabad Andhra Pradesh|N/A|AP|500062|null|S G Bajwa|040 7120268|Principal|rkdas@nfc.ernet.in|Asia/Kolkata|IN
null|Atomic Energy Central School|Heavy Water Plant Colony Aswapuram Khammam Distt. Andhra Pradesh|N/A|AP|507116|null|Shobha Dove|08746 24351|Principal|aecs_manuguru@rediffmail.com|Asia/Kolkata|IN
null|Aurobindo Public School|Ravindra Nagar Nalgonda Andhra Pradesh|N/A|AP|508001|null|Mr. M Marreddy|08682 223020|Principal|aurobindonlg@yahoo.com|Asia/Kolkata|IN
null|Azaan International School|9-4-136, Seven Tombs Road, Tolichowki, Hyderabad|N/A|AP|500008|null|Mrs.Perween Sultana Shikoh|04064509370 04024413483|Principal|azaan.cbse@gmail.com|Asia/Kolkata|IN
null|Azra Public School|10-2-510/1 Asif Nagar Mehdipatnam Main Road Hyderabad Andhra Pradesh|N/A|AP|500028|null|Mrs Uma Rajendran|040 3530453|Principal|azraschool@yahoo.co.in|Asia/Kolkata|IN
null|B V B'S Sri Venkateswara Vidyalaya|18-1-46/F-10 Sapthagiri Nagar Tirupati Andhra Pradesh|N/A|AP|517507|null|P Rama Hanuman|08574 30140|Principal|principal@bhavantirupati.org|Asia/Kolkata|IN
null|B V Bhavan'S Res Public School|Pedatadepalli P.O Tadepalligudem W.G.Distt Andhra Pradesh|N/A|AP|534101|null|Mr. Rajiv Kumar Sharma|08818 284234|Principal|vr_bvbrp@bsnl.in|Asia/Kolkata|IN
null|B V Bhavans International Res Pub Sc|Res. Public School Bhimavaram Bhimavaram West Godavary Distt. Andhra Pradesh|N/A|AP|534203|null|Mr. A.A.P. Balaji Rao|08816 234506|Principal|bvb_bvrm@rediffmail.com|Asia/Kolkata|IN
null|B V Reddy Sr Sec School|Satyanarayanapuram C G Palle Post Chittoor Andhra Pradesh|N/A|AP|517002|null|Mr. S R Shekar|08572 200100|Principal|bvreddyschool@yahoo.co.in|Asia/Kolkata|IN
null|Bhadrachalam Pub. Sch & Jr College|Sarapaka Khammam Dist. Andhra Pradesh|N/A|AP|507128|null|Mr. G.Prabhakar Reddy|08746 217066|Principal|prabhakar123_in@yahoo.co.in|Asia/Kolkata|IN
null|Bharat Public School|Subhash Chandra Bose Nagar Ramavaram Kothagudam Andhra Pradesh|N/A|AP|507118|null|Mr. M.Subba Rao|08744 0874423102|Principal|msubbarao_2000@yahoo.com|Asia/Kolkata|IN
null|Bharatiya Vidya Bhavan'S Atmakuri Rama Rao School|Road No.45 (End), Jubilee Hills, Hyderabad|N/A|AP|500033|null|P.Satya|040-64556630|Principal|bvbarrrs@rediffmail.com|Asia/Kolkata|IN
null|Bharatiya Vidya Bhavan'S Public Scho|Jubilee Hills Road No.71 Hyderabad Andhra Pradesh|N/A|AP|500033|null|C Ramadevi|040 3544934|Principal|bvbpsjh@rediffmail.com|Asia/Kolkata|IN
null|Bharatiya Vidya Bhavan'S Vidyashram|Nird Campus Rajendranagar Hyderabad Andhra Pradesh|N/A|AP|500030|null|V S N Raju|040 4016404|Principal|apbso4@rediffmail.com|Asia/Kolkata|IN
null|Bharatiya Vidya Bhavans Public Schoo|B.H.E.L.Township R.C.Puram Hyderabad Andhra Pradesh|N/A|AP|500032|null|Mr. P Rama Hanuman|040 23024910|Principal|bvbpschoolbhel@sify.com|Asia/Kolkata|IN
null|Bhashyam Blooms|Bhashyam Blooms,Ring Road,Guntur, Andhra Pradesh-522007|N/A|AP|522007|null|Uma Devi.Yeddlapalli|0863 2246015|Principal|megamanipurschool@rediffmail.com|Asia/Kolkata|IN
null|Bhavan'S Sri Ramakrishna Vidyalaya|Sainikpuri Post Secunderabad Andhra Pradesh|N/A|AP|500094|null|Mr. B Jyothi Aparna|040 7112561|Principal|principalbsrkv@gmail.com|Asia/Kolkata|IN
null|Bhpv Sr Sec School|Bhpv Township Bhpv Limited Visakhapatnam Andhra Pradesh|N/A|AP|530012|null|P V Subrahmanyam|0891 517381|Principal|ed.bhpv@rmj.sprintrpg.ems.vsnl.net.in|Asia/Kolkata|IN
null|Bolton School|219/B|N/A|AP|N/A|null|D Janaki|040-27892359|Principal|janaki_pallavi@rediffmail.com|Asia/Kolkata|IN
null|Boon School|Ramanayyapeta Kakinada E.G.District Andhra Pradesh|N/A|AP|533005|null|Dr V Hanumantha Rao|0884 379147|Principal|kkd@om.xlweb.com|Asia/Kolkata|IN
null|Brahm Prakash D A V School|Midhani Township Kanchanbagh Hyderabad Andhra Pradesh|N/A|AP|500058|null|Mr. K.V.R.K.Prasad|040 24342036|Principal|bpdav@indiatimes.com|Asia/Kolkata|IN
null|C A L Public School|1-50 Kapra Main Road Kapra Hyderabad Andhra Pradesh|N/A|AP|500762|null|Mrs R Shalini David|040 7120807|Principal|chaos_ns@yahoo.com|Asia/Kolkata|IN
null|Carmel Convent School|Acc Mancherial Adilabad Dt|N/A|AP|504209|null|Jancy Thomas|08736250051 08736-252417|Principal|cjpmncl@yahoo.co.in|Asia/Kolkata|IN
null|Chaitanya Bharathi Public School|Gandipet Hyderabad Andhra Pradesh|N/A|AP|500075|null|D Divakara Rao|08413 33078|Principal|mediciti@hd1.vsnl.net.in|Asia/Kolkata|IN
null|Chavara Academy Mavala|Mavala P.O|N/A|AP|504001|null|Mr.Sebastian Abraham|08732220686|Principal|chavaraacademy@gmail.com|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Door No.70C/Xx Near State Bank Of India Adoni Kurnool Dist. Andhra Pradesh|N/A|AP|518301|null|Mr. C Vani Bai|08512 251516|Principal|chinmaya_adn@yahoo.co.in|Asia/Kolkata|IN
null|Chinmaya Vidyalaya|Kundan Bagh Begum Pet Hyderabad Andhra Pradesh|N/A|AP|500016|null|Mrs Sailaja|040 3317594|Principal|pvgrao@hotmail.com|Asia/Kolkata|IN
null|Chirec Public School|Municipal N.3010414 Kondapur Village Sherilingampally Mandal R R Distt. Andhra Pradesh|N/A|AP|500016|null|Mrs K Rajalaxmi|040 3010902|Principal|szakhmi@yahoo.co.in|Asia/Kolkata|IN
null|D A V B D L Public School|B D L Township Bhanoor Medak Distt. Andhra Pradesh|N/A|AP|502305|null|M Prabhakar|040 242902|Principal|fkunil@yahoo.co.uk|Asia/Kolkata|IN
null|D A V Public School|Santoshima Nagar Ramakrishnapuram Post Hyderabad Andhra Pradesh|N/A|AP|500056|null|Mr. Seetha Kiran|040 27223721|Principal|seetha_kiran@yahoo.co.in|Asia/Kolkata|IN
null|D A V Public School|Sector-Iii Ukkunagaram Visakhapatnam Andhra Pradesh|N/A|AP|530032|null|Mr. K.V.R.K.Prasad|518407|Principal|davcpsukkunagaramvsp@yahoo.co.in|Asia/Kolkata|IN
null|D R S International School|523, Gundlapochampally Near Apparel Park Medchal Mandal R R Distt Ap |N/A|AP|N/A|null|Mr.S.A.M.V.Prasada Rao|040 23792123|Principal|principal@drsinternational.com|Asia/Kolkata|IN
null|D.A.V. Public School|4-130, Sujathanagar, Visakhapatnam|N/A|AP|530051|null|Ch.V. Narayana|08912513496|Principal|davsnvsp@yahoo.com|Asia/Kolkata|IN
null|Dav Public School|Vivekanand Nagar Colony Kukatpally Hyderabad Andhra Pradesh|N/A|AP|500072|null|Vasantha S Raman|040 3065024|Principal|bvmgiri@sanchernet.in|Asia/Kolkata|IN
null|Defence Laboratories School|Vignyankancha Research Centre Imarat (Rci) Hyderabad Andhra Pradesh|N/A|AP|500069|null|Rita Dhall|040 3311880|Principal|rcischool@rediffmail.com|Asia/Kolkata|IN
